"baby_id","ID_testdate","gender","study_name","age_days","age_months_binned","age_continuous","lang_group","lang_exp_eng","lang_exp_fre","lang_exp_other","lang_dom","cdi_filled_by","both_cdi_filled","required_cdi_filled","eng_cdi_filled","fre_cdi_filled","dom_cdi_filled","cdi_available","number_of_te","eng_unique_words","fre_unique_words","date_of_test","visit_num","multiple_visits","total_keeper_visits","years_education","firstborn","balance","balance_group","participant_id","exclude.language","exclude.age","concept_vocab","total_words_eng","total_words_fre","word_vocab","age_month_decimal","BalanceGroup_byExposure","TotalNW_Dom_exposure","TotalNW_NonDom_exposure","Dom_unique_words_exposure","NonDom_unique_words_exposure","LangDom_vocab","TotalNW_Dom","TotalNW_NonDom","Dom_unique_words","NonDom_unique_words","TotalUnique","balance_vocab","propTE","propTE_CDI"
"3980","3980_2013-06-15","F","ReMix20",645,21,21.21,"bilingual",50,50,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",87,31,167,2013-06-15,1,FALSE,1,16,"n",50,"50_50",152,0,0,285,118,254,372,21.5,"50_50",254,118,167,31,"French",254,118,167,31,198,0.682795698924731,0.467741935483871,0.129464285714286
"3131","3131_2013-06-26","F","ReMix20",624,20,20.52,"bilingual",67,29,4,"English","Father","Y","Y","Y","Y","Y","bothFilled",6,12,18,2013-06-26,1,TRUE,2,16,"n",31,"60_40",381,0,0,36,18,24,42,20.8,"80_20",18,24,12,18,"French",24,18,18,12,30,0.571428571428571,0.285714285714286,0.00892857142857143
"3156","3156_2013-06-29","M","ReMix20",618,20,20.32,"bilingual",52,48,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",19,12,47,2013-06-29,1,TRUE,2,13,"n",48,"50_50",40,0,0,78,31,66,97,20.6,"50_50",31,66,12,47,"French",66,31,47,12,59,0.680412371134021,0.391752577319588,0.0282738095238095
"3187","3187_2013-07-04","F","ReMix20",626,20,20.58,"bilingual",70,30,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",7,29,12,2013-07-04,1,FALSE,1,18,"n",30,"70_30",557,0,0,48,36,19,55,20.8666666666667,"80_20",36,19,29,12,"English",36,19,29,12,41,0.654545454545455,0.254545454545455,0.0104166666666667
"1257","1257_2013-07-11","F","ReMix20",632,20,20.78,"bilingual",61,39,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",16,33,20,2013-07-11,1,FALSE,1,18,"n",39,"60_40",280,0,0,69,49,36,85,21.0666666666667,"60_40",49,36,33,20,"English",49,36,33,20,53,0.576470588235294,0.376470588235294,0.0238095238095238
"4709","4709_2013-10-06","M","ReMix20",626,20,20.58,"bilingual",31,69,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",33,22,81,2013-10-06,1,FALSE,1,16,"n",31,"60_40",282,0,0,136,55,114,169,20.8666666666667,"80_20",114,55,81,22,"French",114,55,81,22,103,0.674556213017751,0.390532544378698,0.0491071428571429
"4862","4862_2013-10-20","F","BiAEM26",806,26,26.5,"bilingual",25,75,0,"French",NA,"Y","Y","Y","Y","Y","bothFilled",270,23,262,2013-10-20,2,TRUE,2,15,"n",25,"70_30",105,0,0,555,293,532,825,26.8666666666667,"80_20",532,293,262,23,"French",532,293,262,23,285,0.644848484848485,0.654545454545455,0.401785714285714
"3144","3144_2013-10-27","M","Prime24",735,24,24.16,"bilingual",54,46,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",78,58,33,2013-10-27,1,FALSE,1,18,"n",46,"50_50",33,0,0,169,136,111,247,24.5,"50_50",136,111,58,33,"English",136,111,58,33,91,0.550607287449393,0.631578947368421,0.116071428571429
"5049","5049_2013-11-06","M","ReMix20",613,20,20.15,"bilingual",53,47,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",3,3,9,2013-11-06,1,TRUE,2,11,"y",47,"50_50",129,0,0,15,6,12,18,20.4333333333333,"50_50",6,12,3,9,"French",12,6,9,3,12,0.666666666666667,0.333333333333333,0.00446428571428571
"4009","4009_2013-11-18","M","Mix20",611,20,20.09,"bilingual",75,25,0,"English",NA,"Y","Y","Y","Y","Y","bothFilled",4,13,7,2013-11-18,1,FALSE,1,16,"n",25,"70_30",319,0,0,24,17,11,28,20.3666666666667,"80_20",17,11,13,7,"English",17,11,13,7,20,0.607142857142857,0.285714285714286,0.00595238095238095
